,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Gm17167,28.1125895730881,0.040882455705829,0.246451276077247,0.644718016564311,0.837483269409736,0.8653613803401958
Gm17168,1.90737393520454,-0.0360566932630499,0.26145457201982,0.288958559495593,,0.6471999126488831
Gm17173,1.00879108620472,0.0134670608738764,0.260218917212385,0.325727603865208,,0.6745180951154962
Gm17177,3.38364005883032,0.0251840344330863,0.257969572354433,0.564075613428061,,0.8264326784307574
Gm17184,4.82148895066825,0.031847370949974,0.258829388763638,0.471988416495297,0.733397090606109,0.7708313484695446
Gm17193,5.48009580827157,-0.0538225934728012,0.259970507898935,0.387780248463935,0.676655364813585,0.7193091662468366
Gm17194,1.48918111984445,-0.0017356844200332,0.258693523017773,0.945423748433761,,0.9875283123004346
Gm17195,1.5953842912256,-0.0229135483655062,0.260029132506866,0.422332423015154,,0.7405238859664596
Gm17201,19.6557632549736,0.0161958076426331,0.239900710912531,0.864141794370842,0.94611718512758,0.9578378370256035
Gm17203,4.13169994938711,-0.0334438703540865,0.259057463048111,0.457932963244309,,0.7620566594795389
Gm17210,3.33983960095313,-0.0139376265987665,0.25438449692686,0.79533673773067,,0.9322871503480858
Gm17226,2.7543210972003,-0.0209686135055964,0.258645499622263,0.547589634119147,,0.8171295844750573
Gm17229,1.8961108889054,-0.0288727864845806,0.260064480147522,0.395262760652033,,0.7235408540412028
Gm17235,1.8094567464189,-0.0650732478887339,0.270398935251516,0.0438603913535095,,0.3222638021070601
Gm17249,33.5964521152427,-0.0065365063710264,0.226225787378876,0.951771382169706,0.982273592085578,0.990427040314101
Gm17251,51.8852036797502,0.0514284188436781,0.244234958977741,0.596691951148387,0.812007235002548,0.844127364559653
Gm17259,8.41494429379739,0.0295256241526408,0.252692557280192,0.661992590557262,0.84791133422728,0.8747358224242554
Gm17275,124.144969836369,0.0708391319119699,0.246101717686018,0.493477674896329,0.747382481915024,0.7841178206015527
Gm17276,2.27444361049053,-0.0037828121775394,0.257176622084303,0.91696802800698,,0.9780385940838557
Gm17281,8.11009120038203,-0.0846741544957383,0.268934020053752,0.236674975566047,0.552647526269265,0.6059170132476518
Gm17300,268.204501939443,0.0832001512534098,0.191316406611235,0.533275755592127,0.77286925417932,0.8069294052197481
Gm17315,2.94336050224597,0.0260356860574726,0.258002512053506,0.547252908763024,,0.8168017924517919
Gm17324,2.7274312941905,0.0416837756995319,0.264507858039538,0.0300388267736585,,0.27793115338063457
Gm17334,11.6220425792329,0.0283862763612613,0.241594221087835,0.761412235053674,0.898609943891868,0.918938835019591
Gm17344,1.72583367504562,-0.0300754106451582,0.261953665474475,0.16944269051486,,0.5330347529511834
Gm17354,61.8665748692862,0.235553905766221,0.279943524024359,0.125640906761303,0.423406421633512,0.47853731827408214
Gm17382,7.64616488644957,0.100259464721468,0.281722431205897,0.0963691829571504,0.381083268504782,0.4342941026570569
Gm17396,45.4661423434339,-0.160056489551787,0.241043577859726,0.250703684628319,0.565615349780732,0.6180899522030177
Gm17399,9.84531237002961,-0.0029007205362244,0.247023661012896,0.967720651179043,0.987865997989323,0.992284949330528
Gm17415,4.72000764950505,-0.0853458850761418,0.277673656438051,0.0570447243348353,0.308570663348039,0.35655933547360624
Gm17435,65.9211911985075,0.38659054849394,0.351193017711369,0.0392683045637172,0.26664445518266,0.3099560405099141
Gm17455,2.40751259405546,0.0203793042858639,0.25763677480996,0.624824751632309,,0.8565459414485346
Gm17477,24.1191759480529,-0.103132137739241,0.272186031411103,0.233400983526242,0.549922792335034,0.6034065441712763
Gm17484,53.2079208979974,0.0681838618734121,0.22928574921147,0.56845891413197,0.796248423016468,0.8291415334777733
Gm17491,171.107793075953,0.104401496800331,0.23117441947654,0.41622257832324,0.695557936338217,0.7365616055491067
Gm17494,150.551434982683,0.193053018518452,0.303013476480484,0.139275972581115,0.439272593779822,0.49421192109242035
Gm17501,6.99660487977891,0.0734715754927769,0.266840167505984,0.242489163418778,0.558080726636204,0.6111275773952901
Gm17509,9.13850042532221,0.0118079929727085,0.248933119340964,0.876423847183834,0.951670614086094,0.9629616115296434
Gm17518,8.34077863843937,-0.0742959251011124,0.261292816102852,0.347011373522954,0.646703014292778,0.6917426037478333
Gm17529,3.05086760740843,0.0384327180066122,0.260172532546228,0.380571292519858,,0.7143927883585499
Gm17530,9.45483042781628,0.051065357730969,0.254930037856526,0.493873633490247,0.747828097588939,0.7846224711068887
Gm17552,24.8001856809547,-0.0615039941028085,0.258840409053936,0.399525916045912,0.683877115913178,0.7262940512886735
Gm17555,54.6422209783307,-0.0353272617191852,0.233231361047802,0.739687437492091,0.887080168036614,0.9088803560119608
Gm17586,134.645111528154,0.369850419428975,0.516252613179954,0.0341959192659384,0.251065828349367,0.2932499705013882
Gm17597,11.8905929260083,-0.0884384681540296,0.267922302021207,0.25983849634359,0.573561749915627,0.6250049709795662
Gm17611,2.40996849662489,-0.0193042680788996,0.260409527745683,0.473960617831635,,0.7723952987987245
Gm17638,35.2172856209569,-0.0694891222941841,0.241804088116213,0.518935021314773,0.76384290274869,0.7991945659476567
Gm17655,72.6175379733584,0.0636496960369802,0.257799996496016,0.412184649370167,0.692430095647538,0.7335085662896971
Gm17669,1.28697735339199,0.0152362914399759,0.257410132392554,0.703265014533378,,0.893129075364145
Gm17690,62.3890072929335,0.567214777695867,0.54087268855202,0.0169254786182036,0.183858204171689,0.21762963385433412
Gm17705,6.36433051225781,0.0885584017094133,0.269580839464975,0.239537353218224,0.555473279869308,0.6086338449881113
Gm17709,4.42923023888217,0.0303644411137425,0.258807760274668,0.481591059995663,0.739355073606351,0.7766605846122819
Gm17727,1.31620700067133,0.0192770594088124,0.260392103492433,0.291198095971072,,0.6493431807875946
Gm17732,11.384580769489,0.0703387523663918,0.268144729316388,0.198397277874172,0.513316747851582,0.5679964515598066
Gm17745,3.68420760988832,0.102176285825452,0.281618146732522,0.10746196914576,,0.45335981264629854
Gm17753,8.07671342886297,0.044330237071054,0.249015940318943,0.600953006163674,0.814722733222681,0.8468360335256943
Gm17767,2.2410278565416,-0.0219009731058407,0.258799594586892,0.534920528807566,,0.8081003465623253
Gm17815,2.79490115819222,0.0295999962510574,0.259400922500129,0.452844458846659,,0.7591916389210941
Gm17816,15.4376838167605,-0.0843046427314104,0.267982205515475,0.25683006666733,0.570979769565887,0.6228970445264276
Gm17823,1.24401467532986,0.027563542385991,0.26081754982228,0.271749498684507,,0.635299980127103
Gm17825,8.98525655071841,-0.053634116949498,0.25996827840104,0.3884998904407,0.677205601403517,0.7198653524141788
Gm17833,2.84678898766989,-0.0176056958226597,0.256642985129336,0.696105119046578,,0.8910094446008326
Gm17893,1.70882752360972,0.0045806550649031,0.259127694320133,0.820314455116231,,0.9417757177697753
Gm17907,3.60999818793755,-0.0106420705362061,0.255527297704614,0.825738100770797,,0.9438756748180172
