gene,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
ENSMUSG00000002249,111,381,341,375,574,422,272,384,366
ENSMUSG00000002250,343,965,987,1203,1023,1125,801,1372,1098
ENSMUSG00000002257,910,739,851,1088,714,1010,783,779,772
ENSMUSG00000002265,3,25,9,2,63,21,2,63,31
ENSMUSG00000002266,25,111,152,4,35,52,21,70,34
ENSMUSG00000002274,2752,724,650,539,675,530,795,933,892
ENSMUSG00000002279,644,702,781,702,1087,770,761,823,606
ENSMUSG00000002280,498,407,496,567,664,756,428,578,416
ENSMUSG00000002289,34,36,108,214,136,192,122,53,71
ENSMUSG00000002297,980,1469,1425,1743,1593,1680,1252,1772,1416
ENSMUSG00000002307,1463,1015,1204,1292,1441,1304,1049,1405,1265
ENSMUSG00000002308,1256,684,720,965,774,853,861,756,782
ENSMUSG00000002319,4730,3351,3594,3495,4063,3519,2578,4536,3301
ENSMUSG00000002320,480,1059,1271,905,1345,1108,865,1171,851
ENSMUSG00000002324,0,4,2,0,5,2,6,1,0
ENSMUSG00000002325,204,279,563,350,410,344,240,363,319
ENSMUSG00000002326,255,558,611,493,776,596,579,583,489
ENSMUSG00000002329,542,239,304,284,373,336,276,283,227
ENSMUSG00000002332,1161,637,785,697,977,813,763,782,830
ENSMUSG00000002341,38,83,70,55,149,74,70,19,14
